role_id,masco_code,role_title,locale,role_standard,crosswalk_status,crosswalk_confidence,mapped_masco2020_code,mapped_masco2020_title,global_sources,global_match_count,global_anchor_count,question_count,linked_open_qa_count,role_source_url,role_license_status
M121111,121111,Transfer Pricing Manager,en-MY,MASCO 2020,excluded,not_established,,,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,official_source_rights_review_required_for_external_bulk_redistribution
M121202,121202,Occupational Safety and Health Manager,en-MY,MASCO 2020,retained,high,121205,Occupational Safety and Health Manager,ESCO 1.2.1; O*NET 31.0; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,4,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,official_source_rights_review_required_for_external_bulk_redistribution
M121404,121404,Supply Chain and Logistics Management Manager,en-MY,MASCO 2020,retained,medium,121411,Supply Chain Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319,official_source_rights_review_required_for_external_bulk_redistribution
M121408,121408,Technology Manager,en-MY,MASCO 2020,retained,high,121416,Technology Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319,official_source_rights_review_required_for_external_bulk_redistribution
M121409,121409,Chief Business Officer,en-MY,MASCO 2020,excluded,not_established,,,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf,official_source_rights_review_required_for_external_bulk_redistribution
M122301,122301,Research and Development Manager,en-MY,MASCO 2020,retained,high,122301,Research and Development Manager,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M131101,131101,Forestry Manager,en-MY,MASCO 2020,retained,high,131102,Forestry Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M131102,131102,Agricultural Manager,en-MY,MASCO 2020,retained,high,131106,Agricultural Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M131103,131103,Veterinary Manager,en-MY,MASCO 2020,retained,high,131111,Veterinary Manager,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M131104,131104,Field Manager (Grass),en-MY,MASCO 2020,retained,high,131114,"Field Manager, Grass",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
