"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","matched_esco_label","exact_normalized_label","same_four_digit_group","selected_primary","query_masco_version","score_is_probability"
"M363414","363414","Stage Technician","4","3435.3","Audio Production Technician","http://data.europa.eu/esco/occupation/2cbb23b0-0bf1-4871-9e6d-18f005987310","0.675622","0.654151","0.62054","Stage Sound Technician","false","false","false","2020","false"
"M363414","363414","Stage Technician","5","3435.25.4","Stage Machinist","http://data.europa.eu/esco/occupation/50b41847-6dad-4a2e-9427-a0374c2963fd","0.673261","0.653706","0.591764","Set Technician","false","false","false","2020","false"
"M363414","363414","Stage Technician","6","3435.22","Stage Manager","http://data.europa.eu/esco/occupation/1aa4bb15-c527-4a3b-9270-b3c71c4be111","0.661722","0.70774","0.594664","Stage Manager","false","false","false","2020","false"
"M363414","363414","Stage Technician","7","3521.1.11","Video Technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.659138","0.624984","0.608238","Image Technician","false","false","false","2020","false"
"M363414","363414","Stage Technician","8","3115.1.16","Production Engineering Technician","http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb","0.656514","0.670018","0.605011","Data Collection Technician","false","false","false","2020","false"
"M363414","363414","Stage Technician","9","7312.5","Musical Instrument Technician","http://data.europa.eu/esco/occupation/3c1b7871-87f9-427b-adcb-fe16be8f9f24","0.639163","0.675349","0.534263","Musical Instrument Technician","false","false","false","2020","false"
"M363414","363414","Stage Technician","10","3435.25.3","Scenery Technician","http://data.europa.eu/esco/occupation/5a0ff408-e1df-424b-a2d6-4b475a516f2a","0.632136","0.598625","0.594462","Set Tehnician","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","1","2631.1","Economic Policy Officer","http://data.europa.eu/esco/occupation/394a4bdd-7032-4d87-89a2-9d937cebdd09","0.658609","0.757843","0.401484","Economic Policy Advisor","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","2","3313.1","Accounting Assistant","http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6","0.643035","0.69416","0.502635","Accounting Assistant","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","3","3343.1","Administrative Assistant","http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652","0.638949","0.677734","0.452107","Communications Assistant","false","false","true","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","4","3343.3","Executive Assistant","http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44","0.638732","0.695365","0.456453","Personal Assistant","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","5","2631.2.2","Economic Adviser","http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d","0.625574","0.698494","0.368634","Economics Consultant","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","6","3343.4","Management Assistant","http://data.europa.eu/esco/occupation/8cce40c1-4479-47e7-b5fc-c976631d919f","0.621087","0.66809","0.469856","Office Assistant","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","7","4416.1","Human Resources Assistant","http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd","0.614699","0.67281","0.504508","Human Resources Assistant","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","8","2422.12.6","Fiscal Affairs Policy Officer","http://data.europa.eu/esco/occupation/50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7","0.600674","0.695322","0.443572","Fiscal Affairs Policy Officer","false","false","false","2020","false"
"M411126","411126","Economic Affairs Assistant Grade E19","9","2631.2.3","Economic Development Coordinator","http://data.europa.eu/esco/occupation/9e1e8379-6377-4969-b141-0d2337218fc9","0.589878","0.671962","0.3798","Economist","false","false","false","2020","false"
