role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M132303,Land Surveyor Manager,132303,1323,3,1323.1.1,construction general contractor,http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a,construction project manager,altLabel,0.489796,review_only_not_used,no_unique_exact_esco_title_match,,,
M132401,Railway Station Master,132401,1324,1,1324.7,railway station manager,http://data.europa.eu/esco/occupation/b39a74a2-37fe-4fdc-ba8e-5bbbbdce2d89,railway station manager,preferredLabel,0.888889,review_only_not_used,no_unique_exact_esco_title_match,,,
M132401,Railway Station Master,132401,1324,2,1324.3.1.3,rail operations manager,http://data.europa.eu/esco/occupation/98ad0008-13d9-4e9b-94bf-4f4a5faae764,railway operations manager,altLabel,0.750000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132401,Railway Station Master,132401,1324,3,1324.1,airport director,http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955,station manager,altLabel,0.648649,review_only_not_used,no_unique_exact_esco_title_match,,,
M132402,Transport Manager,132402,1324,1,1324.3.1.4,road operations manager,http://data.europa.eu/esco/occupation/4ea620f2-5c75-49ee-85a0-b2fb6bbf3624,road transport manager,altLabel,0.871795,review_only_not_used,no_unique_exact_esco_title_match,,,
M132402,Transport Manager,132402,1324,2,1324.3.1.5,road transport division manager,http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983,motor transport manager,altLabel,0.850000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132402,Transport Manager,132402,1324,3,1324.3.2,import export manager,http://data.europa.eu/esco/occupation/b87a7a27-ee74-4e5e-b274-84a3cab27bf4,trainee export manager,altLabel,0.820513,review_only_not_used,no_unique_exact_esco_title_match,,,
M132404,Port/Shipping Operations Manager,132404,1324,1,1324.3.1.3,rail operations manager,http://data.europa.eu/esco/occupation/98ad0008-13d9-4e9b-94bf-4f4a5faae764,train operations manager,altLabel,0.785714,review_only_not_used,no_unique_exact_esco_title_match,,,
M132404,Port/Shipping Operations Manager,132404,1324,2,1324.1,airport director,http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955,terminal operations manager,altLabel,0.745763,review_only_not_used,no_unique_exact_esco_title_match,,,
M132404,Port/Shipping Operations Manager,132404,1324,3,1324.3,logistics and distribution manager,http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5,logistics operations manager,altLabel,0.733333,review_only_not_used,no_unique_exact_esco_title_match,,,
M132405,Halal Logistics Operation Manager,132405,1324,1,1324.3,logistics and distribution manager,http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5,logistics operations manager,altLabel,0.885246,review_only_not_used,no_unique_exact_esco_title_match,,,
M132405,Halal Logistics Operation Manager,132405,1324,2,1324.3.1.3,rail operations manager,http://data.europa.eu/esco/occupation/98ad0008-13d9-4e9b-94bf-4f4a5faae764,rail operations manager,preferredLabel,0.714286,review_only_not_used,no_unique_exact_esco_title_match,,,
